Timestamp,Score,How satisfied are you with the teaching quality and faculty interaction in your academic courses?,How manageable do you find your academic workload?,How confident are you about your academic performance and preparation for exams?,How satisfied are you with the support provided by faculty for academic and career growth?,How confident are you in the college’s placement process and support in securing job opportunities?,"How satisfied are you with the campus facilities (classrooms, libraries, labs, etc.)?","How do you rate the quality of campus infrastructure (hostels, classrooms, labs, etc.)?",How well-maintained do you find the campus facilities?,How satisfied are you with the availability of technology and resources for academic work?,How do you rate the cleanliness and maintenance of campus facilities? ,How satisfied are you with your social life and interactions with friends during your time at college?,How often do you engage in social media as part of your daily routine at college?,How well do you feel integrated into the college’s social environment?,"How would you rate your overall happiness with the college’s social opportunities (events, friendships, community)?",How confident are you about your career prospects after graduation?, How well do you feel that your experience at IIIT Allahabad is preparing you for the future?,"How do you rate the quality of campus infrastructure (hostels, classrooms, labs, etc.)?.1",How would you rate your overall mental health during your time at college?,How accessible and helpful are the mental health resources provided by the college?,"How satisfied are you with the physical health resources available (gyms, health centers, etc.)?",How often do you engage in physical activities or exercise as part of your daily routine?,"How often do you participate in extracurricular activities (clubs, sports, cultural events, etc.)?",How do you feel extracurricular activities contribute to your overall college experience?,How well do you think the college supports students in pursuing extracurricular interests?,How often do you feel stressed or overwhelmed by the demands of college life?,How satisfied are you with the variety and availability of extracurricular activities at the college?,How well do you feel informed about managing personal finances while at college?,"How manageable do you find your financial situation, considering tuition fees, living expenses, and other costs?","How satisfied are you with the financial support options available to students (scholarships, loans, etc.)?", How much do financial concerns affect your ability to focus on academic and extracurricular activities?,How satisfied are you with the financial resources available to you for maintaining a comfortable lifestyle?,To what extent do you feel your financial situation impacts your overall happiness?,"How supported do you feel by friends, family, or peers within the institute?",To what extent do you believe social support within the institute contributes to your happiness?,How would you rate your satisfaction with your current physical health?,To what extent do you think maintaining good physical health contributes to your happiness?,How satisfied are you with the freedom you have to make decisions about your academic and personal life?,How accessible and helpful are the mental health resources provided by the college?,How often do you engage in acts of kindness or generosity towards others?,To what extent do you think acts of generosity contribute to your happiness?,How often do you feel that fairness is maintained in your academic and social environment?,To what extent does a fair and corruption-free environment affect your overall happiness?
9/24/2024 23:26:33,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,1,6,1,1,4,1
9/24/2024 23:26:55,,6,4,5,5,4,7,6,6,7,7,4,10,4,4,5,5,5,4,4,6,4,2,3,6,4,6,4,6,5,4,1,1,1,1,4,6,6,1,1,1,1,1
9/24/2024 23:27:56,,3,3,3,5,7,8,8,8,7,9,6,10,10,6,4,5,5,4,2,6,9,7,8,8,9,7,6,5,4,6,1,5,1,1,4,7,1,1,1,1,1,6
9/24/2024 23:28:19,,3,1,3,2,4,4,8,8,6,9,2,8,5,4,8,8,8,1,1,2,7,7,3,1,1,1,2,3,5,5,1,6,1,1,1,1,1,1,1,1,1,1
9/24/2024 23:29:25,,2,1,2,2,1,2,2,1,1,2,2,10,2,5,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,10,1,1
9/24/2024 23:29:34,,6,3,7,6,7,7,8,5,6,7,9,7,7,7,7,7,8,4,3,6,6,2,4,4,8,5,2,4,3,7,1,1,1,1,4,5,1,1,1,1,1,1
9/24/2024 23:30:00,,1,1,1,1,5,3,6,5,1,4,4,1,3,1,7,7,3,1,1,6,1,1,6,4,1,2,2,1,8,1,1,1,1,1,1,2,8,1,1,1,1,1
9/24/2024 23:30:06,,6,7,7,6,8,3,1,2,1,4,8,7,8,5,5,6,1,7,7,6,1,1,7,5,3,1,3,5,3,5,1,8,1,1,7,1,1,10,1,1,1,1
9/24/2024 23:30:42,,1,1,1,1,10,1,1,1,1,1,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,4
9/24/2024 23:30:51,,7,6,5,6,8,9,8,8,7,9,8,7,8,8,7,8,8,6,6,7,6,6,8,4,5,5,4,7,8,3,1,1,1,1,6,5,7,1,1,1,1,1
